idgruplac,lineas
00000000002156,"Calidad y potabilización de aguas;Control, diagnostico y gestión ambiental;Dinámicas de ecosistemas terrestres y acuáticos;Ecomateriales;Modelación y simulación de Procesos (modelación Ambiental);Tratamiento de aguas residuales y manejo de residuos sólidos"
00000000002184,EDUCACIÓN POPULAR Y COMUNITARIA
00000000019510,Administración y Prospectiva del Conocimiento Científico;Educación y Divulgación de la Ciencia;Micro y Nano Ciencia;Sistemas Complejos
00000000000095,Dismorfología;Investigaciones en AIEPI (Atención integrada de las enfermedades prevalentes en la Infancia);Lactancia materna y Alimentación complementaria;Metodología de la investigación;Nefrología Pediátrica;Nutrición infantil;Revisiones sistemáticas;Salud Materna y Perinatal
00000000021890,Análisis y procesamiento de datos;Construcción de software para gestión de datos;Optimización matemática de procesos industriales
00000000004806,Apropiación de las TIC;Ingeniería del Software;Inteligencia Artificial y Big Data
00000000003369,"Agrobiodiversidad y cambio climático;DESARROLLO CURRICULAR DE ETNOBOTANICA APLICADA;ETNOBIOLOGIA;ETNOBOTANICA, DIVERSIDAD Y RECURSOS FITOGENETICOS;ETNOBOTÁNICAS PARA EL ESTUDIO DE LAS PLANTAS MEDICINALES;ETNOEDUCACION Y EDUCACION AMBIENTAL;Estudios bioculturales;Métodos para la Investigación Etnobotánica"
00000000004638,"Biotecnología, Ciencias de la vida y Genómica;Calidad Medioambiental;Estandarización y validación de técnicas analíticas;Indicadores Químicos de Calidad y Seguridad agro-alimentaria;Servicios e-learning;Uso de Productos y Subproductos Agro-alimentarios"
00000000008150,Aplicaciones;Educación Matemática;Geometría Computacional;Teoría de Números;Álgebra
00000000004277,"Biotecnologia  para la producción agropecuaria;Manejo sostenible de subproductos agropecuarios;Nutrición y Sanidad  animal;Sistemas  Intergrados de producción;Uso, manejo y conservaciòn de  suelos de ladera"
00000000002178,Antropolgía Biocultural;Antropología y Género;Cultura y Desarrollo;Salud ambiental
00000000009075,Construcción de saberes y procesos de formación;Estudios del desarrollo humano y social
00000000010009,"Enseñanza de la tecnologia;Ingenieria Biomedica;Procesamiento digital de señales e imagenes;Automatización de procesos industriales;Energías renovables;Ingeniería Aeronáutica y Aviación;Instrumentación Industrial;Modelado, Simulación y Análisis de Sistemas Dinámicos"
00000000001221,"Estudios Interdisciplinares, Aplicaciones Tecnológicas y Evaluación en Psicología;Gestión de Organizaciones;Salud mental y educción, Estado  y Ciudadanía;Sujeto, Violencias y Lazo Social"
00000000007096,"Apropiación Social de la Ciencia y la Tecnología para la transformación productiva, internacionalización y acción climática;Ciudades y territorios inteligentes;Economía Circular, Bioeconomía, ecosistemas naturales, territorios sostenibles;Gestión del conocimiento y la innovación;Soberanía sanitaria y bienestar social;Soluciones TIC de alto impacto en agricultura, agricultura de precisión, agroindustria y medio ambiente;Tecnologías 4.0 para la salud, educación y el bienestar social;Tecnologías inmersivas para la educación y el entretenimiento"
00000000015254,"Aseguramiento de la calidad en la prestación de servicios de salud;Bienestar físico, Mental y Social, Salud Ambiental y Seguridad laboral;Bio y nanotecnología;Ciencias básicas;Contabilidad, finanzas y desarrollo empresarial;Desarrollo de estrategias digitales interactivas para la sensibilización sobre problemáticas del territorio;Desarrollo de tecnologías virtuales interactivas para el fomento de la apropiación patrimonial y el turismo;Desarrollo turístico territorial;Dinamización y desarrollo de nuevos mercados;Diseño y Desarrollo de aplicaciones para dispositivos móviles;Electrónica y telecomunicaciones;Gestión de mercados y estrategias de Marketing;Identidad gastronómica regional;Ingeniería de software;Ingeniería y diseño;Modelos teóricos y metodológicos de administración y gestión de Archivos;Métodos y procesos para el desarrollo de contenidos digitales como apoyo a procesos interdisciplinarios;Negociación Internacional;Negocios Verdes - Economía circular;Patrimonio Gastronómico;Promoción de la salud, prevención de la enfermedad, apoyo terapéutico y rehabilitación;Tecnologías de la Información y las Comunicaciones (TIC) en la gestión documental;Tecnologías de la información y las comunicaciones (TIC) y Herramientas 4.0 en la gestión Administrativa, Financiera, mercados y logística;Tecnologías para la prestación de los servicios de salud y ambientes simulados;Turismo Cultura y Región"
00000000017064,"Conflicto, políticas públicas y gestión social;Democracia e Instituciones Políticas;Epistemología de la Ciencia Política;Gobierno y políticas públicas;Literatura, arte e interculturalidad"
00000000008591,"CREACIÓN, COGNICIÓN MUSICAL  Y PRODUCCIÓN SONORA;MÚSICA, HISTORIA Y CONTEXTOS CULTURALES;PEDAGOGÍA, TEORÍA Y TECNOLOGÍA MUSICAL"
00000000006312,Educación Económica y Financiera;Eficiencia y Medición del Desempeño;Microfinanzas;Nueva Gestión Pública;Sistemas de Control de Gestión;Valoración de Empresas
00000000003625,Apropiación social de enfoques de Gestión de Conocimiento;Enfoques de Gestión de Conocimiento a nivel organizacional y territorial;Gestión de la innovación y la tecnología;Nuevas Formas Organizacionales de la Competitividad Regional - Dinámicas UEES
00000000000619,Bacteriología;Entomología;Infectología;Micología;Neurología Tropical;Parasitología Humana y Animal;Salud pública;Virología
00000000001014,COMPRENSIÓN Y PRODUCCIÓN DISCURSIVA;DIDÁCTICA DE LA LECTURA Y LA ESCRITURA;LECTURA Y ESCRITURA;NUEVAS TECNOLOGÍAS Y PROCESOS LECTORES Y ESCRITORES
00000000020815,Epidemiología molecular;Patología Molecular;TICs en salud
00000000008151,Espectroscopia Lidar;Interaccion laser con los materiales: EXPANSION DE FASES NORMALES CREADAS CON LASER EN HTSC;Laser y Aplicaciones;Metrología Óptica;Procesamiento Óptico Digital de Imagenes;Telecomunicaciones Opticas;Óptica Biomédica
00000000008155,Biomateriales;Materiales Electrocerámicos;Nanotecnología: Uso de las nanopartículas en la agricultura y en remediación medioambiental;Recubrimientos cerámicos e híbridos;Síntesis y Procesamiento Cerámico
00000000002127,Baterías;Desarrollo de metodologías analíticas verdes;Electroanálisis;Electroquímica de compuestos orgánicos;Electrosíntesis;Membranas
00000000003212,"Culturas, lenguas y educación;Estudios regionales, conflicto y diferencia cultural;Estudios Cognitivos y Culturales;Etnografías del patrimonio"
00000000004639,IDENTIDAD Y SOCIALIZACIÓN;PROCESOS FORMATIVOS Y CONSTRUCCIÓN CURRICULAR;SALUD Y VIDA
00000000003965,"Caracterización y desarrollo de nuevos productos derivados de biomoléculas;Desarrollo agroindustrial en productos apicolas;Manejo postcosecha y procesado mínimo de productos vegetales;Producción, caracterización y desarrollo de empaques biodegradables a partir de biomoleculas de interes agroindustrial"
00000000005833,Automatización y control;Materiales e ingeniería sostenible;Robótica e inteligencia computacional
00000000002153,Señales y Sistemas de Telecomunicaciones
00000000008431,ADMINISTRACION Y DE LAS ORGANIZACIONES Y EMPRENDIMIENTO;LINEA DE INVESTIGACION EN CIENCIAS SOCIALES
00000000009220,Culturas ancestrales - comunicación visual - diseño editorial y tipográfico;Decolonialidad;Historia del Arte y el diseño Latinoamericanos
00000000007399,Sistemas de Comunicaciones Móviles e Inalámbricos
00000000018223,Innovación e Ingeniería Aplicada a procesos;Productividad
00000000015675,Sistemas telemáticos inteligentes
00000000008156,"Administración y legislación de la construcción;Desarrollo tecnológico, procesos e innovación en materiales de la construcción;Ingeniería de tránsito;Redes de Semáforos;Seguridad vial;Topografía Vial"
00000000021496,Estudios Organizacionales y economías locales;Innovación y competitividad;Teoría económica y financiera
00000000002141,Bioinformática;Bioingeniería;Genetica Clinica;Genomica;Metagenomica;Microbiología;Salud Publica;Salud Publica - SIDA
00000000014080,Inteligencia computacional
00000000015256,Didácticas para el Diseño Tipográfico;Prácticas del Diseño Tipográfico;Recuperación y visibilización del patrimonio tipográfico de la Región;Tipografía y Cultura Visual
00000000000694,Automatización;Control y Robótica
00000000000668,"Antropologia biomedica;Antropología Forense , Victimas y Derecho internacional humanitario;Antropología Visual;Bioarqueología;Conflicto y paz en Colombia;Crecimiento y desarrollo;Diversidad Biológica y Cultural del Chocó geográfico;Estudios Afrocolombianos;Etnobotanica y etnomedicina;Mistica;antropologia Epidemiologica;antropologia y salud mental"
00000000002726,COMUNICACIÓN Y DESARROLLO;ESTUDIOS CULTURALES DE LA COMUNICACIÓN LA SOCIEDAD Y EL ARTE;TEXTUALIDAD E IMAGINARIOS URBANOS
00000000008159,GAMA ( Geosistemas andinos y modelos de antropización)Contaminacion de suelos;GAMA Geosistemas andinos y modelos de antropización;BIOSIG;Conocimiento y gestión de la biodiversidad (COBIOR);Gestion Ambiental
00000000008160,Ambientes Integrados para Desarrollo de Sistemas Telemáticos;Aplicaciones Soportadas en Internet;Gestión de Ciencia y Tecnología;Gestión de Redes y Servicios de Telecomunicaciones;Ingeniería de Sistemas Telemáticos;Servicios Avanzados de Telecomunicaciones;Sistemas de Tiempo Real;Tecnologías de la Información;e-Ambiente;eSalud
00000000006693,CUIDADO Y PRÁCTIA DE ENFERMERÍA FAMILIAR Y COMUNITARIA;CUIDADO Y PRÁCTICA DE ENFERMERÍA CLINICO AMBULATORIA;FORMACIÓN EN EL CUIDADO DE ENFERMERÍA
00000000007827,INGENIERIA DE LA INFORMACION;INGENIERIA DE LAS COMUNICACIONES
00000000008516,Desarrollo de Software;Redes
00000000010741,Administración y comercialización;Desarrollo Rural
00000000010589,GESTIÓN DEL RIESGO DE DESASTRES Y DESARROLLO SOSTENIBLE;MEDIO AMBIENTE Y HABITAT;PATRIMONIO;TECNOLOGIA
00000000017651,Forestería comunitaria;Productos forestales;Reforestación y restauración de tierras forestales;Silvicultura tropical
00000000003853,Biología de la Conservación;Ecología;Geología
00000000002146,Biotecnología aplicada al sector agroindustrial;Desarrollo e innovación de productos y procesos agroindustriales;Desarrollo y evaluación de productos para nutrición de especies menores;Gestión de la cadena de suministro y la cadena de valor para el sector agroindustrial
00000000002191,"Aprovechamiento de residuos agroindustriales;Materia Orgánica , Plaguicidas y Ambiente;Suelos, fertilizantes y fertilización"
00000000004407,Desarrollo y Gestión Territorial;Economía ambiental y desarrollo sostenible;Problemas de la Administración Pública
00000000000625,Desarrollo Rural;Ecología y desarrollo sostenible de los sistemas agrarios;Forrajes Tropicales;Nutricion Animal y Vegetal;PISCICULTURA TROPICAL
00000000002140,Citogenética;Derecho y Genoma Humano;Epidemiología Molecular;Epigenética;Informatica Médica;Salud Ambiental;Susceptibilidad Genética y Cáncer
00000000005369,"CREACIÓN AUDIOVISUAL Y NARRATIVAS SOCIALES;Comunicación, ciudadanía y cultura;Periodismo cívico"
00000000001162,"Contabilidad, finanzas y gestión del riesgo;Crítica poscolonial, cultura y transformaciones contemporáneas;Dimensión disciplinar de la contabilidad;Imagen, mediaciones tecnológicas y educación;contextos, economías y culturas"
00000000008372,"Género, mujer y Estado Republicano;La formación del ejército republicano 1820-1863;Memorias, diarios y guerras civiles en el siglo XIX"
00000000007847,"Anatomía, histología y ultraestructura de especies acuáticas indicadoras de calidad ambiental;Aplicación de Procesamiento y Análisis Digital de Imágenes en estudios Biológicos y de Materiales;Bioacumulacion  de metales pesados en especies acuáticas y su aplicación en monitoreo ambiental;Caracterización de Materiales;Caracterización de materiales biodegradables por Microscopía Óptica de Alta Resolución y microscopia Electrónica;Desarrollo e investigación en   nanotecnologia para aplicaciones biotecnológicas;Estudios en tejido vegetal y Animal por  Microscopía Óptica de Alta Resolución y Microscopía Electrónica"
00000000010563,"Cirugía gastrointestinal;Cuidado crítico, trauma y nutrición;Dolor agudo y crónico;Investigación en cancer;Metodología de la investigación;Seguridad perioperatoria;Via aerea"
00000000012484,"Administración y Finanzas;Desarrollo Empresarial, Innovación y TIC"
00000000016547,Estudios en Desarrollo Regional y Gestión Social Latinoamericana;Estudios en Familia Rural y Urbana Latinoamericana;Estudios en Fenomenología e Historia Social Latinoamericana;Estudios en Psicología Social Comunitaria
00000000015758,"Tendencias en ciencias contables, tributarias y financieras;Ciencias Jurídicas;Gestión organizacional y Administración"
00000000008153,Catalisis Heterogenea;Oleoquímica;electroxidación catalítica
00000000002192,Estudios bioculturales;Estudios críticos del desarrollo;Organizaciones
00000000004257,Antropología Médica Crítica;Autoinmunidad;Complicaciones quirúrgicas digestivas;Educación y Pedagogía en Salud;Enfermedades Cardiovasculares;Enfermedades Metabólicas;ITS/VIH/Sida;Prevención de las Enfermedades Infecciosas;Salud Mental
00000000008489,Apropiación social del conocimiento;Gobierno y políticas públicas urbanas y regionales;Identidad y patrimonio;Pensamiento proyectual desde el campo de la representación y simulación;Planificación urbano sostenible
00000000016879,"Economía, ciencias contables, sociedad y desarrollo;Línea Ciencias contables y finanzas"
00000000015901,Gestión Ambiental;Gestión Integral del Agua (GIA);Gestión Integral del Riesgo de Desastres;Gestión de la Energía/Fuentes alternativas de energía;Ingeniería de software;Percepción Avanzada y Robótica
00000000015142,Agroindustria Alimentaria;BIOTECNOLOGÍA VEGETAL;ECOLOGÍA Y MEDIO AMBIENTE;EMPRENDIMIENTO Y EMPRESARISMO;INFORMÁTICA AGROPECUARIA
00000000012288,Cuerpo y fenomenología;Epistemología de las ciencias sociales;Filosofía de la ciencia;Filosofía y enseñanza de las ciencias;Filosofías de la alteridad
00000000010553,Gestión y Entorno Organizacional
00000000002145,"Calidad física, química y biológica del agua;Comunidades ícticas, Piscicultura y Acuicultura;Evaluación de impacto ambiental en recursos hidrobiológicos continentales;Genética;Macroinvertebrados acuáticos;Microbiología acuática;Recursos Hidrobiológicos Continentales"
00000000005500,Creación;Teoría e historia del arte
00000000012834,Análisis Numérico;Optimización Numérica;Álgebra Lineal numérica
00000000002159,Biomonitoreo Genético ambiental/ocupacional;Epidemiología Molecular ambiental/ocupacional;Mutagenésis ambiental;Susceptibilidad Genética a la exposición ambiental/ocupacional;Toxicología Genética y Citogenética (in vivo e in vitro)
00000000004672,Economía Ecológica y Ecología Política;Economía Política;Economía y diversidad cultural
00000000003792,Calidad de Software: Producto & Proceso;Ingeniería de la Colaboración;Interacción Humano-Computador
00000000005361,"Comunicación, Sociedad y Cultura;Derecho, Conflicto y Sociedad;Enseñanza de las ciencias básicas en la educación superior;educación, desarrollo y emprendimiento"
00000000002157,Gestión de la Información;Informática Educativa;Ingenieria de la Colaboración;Ingeniería de Software;Internet de las Cosas;Modelado y Simulación;Seguridad Informática;Sistemas Inteligentes;Tecnologías Internet
00000000007099,Algebras de Banach;Análisis Numérico de Ecuaciones Diferenciales Parciales;Ecuaciones Diferenciales en Derivadas Parciales;Espacios Funcionales;Teoría Geométrica de Funciones
00000000012823,Desarrollo y crecimiento económico;Economía Urbana;Economía de los Recursos Naturales
00000000010829,Biodiversidad y Conservación;Ecología Política y Territorio;Sostenibilidad de Cadenas Productivas
00000000012079,"AMENAZA,VULNERABILIDAD Y RIESGO;CALIDAD DE AGUA;CAMBIO CLIMATICO;CONTROL DE LA CONTAMINACION ATMOSFERICA;DESARROLLO Y APLICACION DE TECNOLOGIA AMBIENTAL;DINAMICA DE CONTAMINANTES QUIMICOS;ECOTOXICOLOGIA AMBIENTAL;GEOMATICA;GESTION AMBIENTAL;MANEJO Y APROVECHAMIENTO DE RESIDUOS SOLIDOS;METODOS NATURALES PARA EL TRATAMIENTO DE AGUAS RESIDUALES;MODELACION DE SISTEMAS AMBIENTALES;PROCESOS AVANZADOS PARA  EL TRATAMIENTO DE AGUAS"
00000000007276,"Calidad e inocuidad de productos y procesos agroindustriales;Ciencia y tecnología en sistemas coloidales y dispersos aplicados a productos y procesos agroindustriales;Desarrollo e innovación en productos y procesos agroindustriales;Investigación en recursos hídrobiológicos;Investigación y desarrollo en recubrimientos y películas a partir de matrices biopoliméricas;Propiedades físicoquimicas, funcionales y bioactivas de productos y procesos agroindustriales"
00000000017266,"Investigación, Desarrollo e Innovación  en salud bucal;Biotecnología"
00000000002142,Biodiversidad;Ecología vegetal y restauración ecológica;Etnobiología y educación ambiental;Fenología de especies silvestres;Variabilidad genética vegetal
00000000020932,"Investigación Clínica y  Epidemiológica;El Cuidado del ser Humano, la Familia y Colectivos;Cirugía;Políticas públicas en salud"
00000000001995,SALUD PÚBLICA Y BIENESTAR EN FISIOTERAPIA;LÍNEA 2. EDUCACIÓN Y DESARROLLO HUMANO;LÍNEA 3. ACTIVIDAD FÍSICA Y DEPORTE
00000000012001,Educación Arte y Cultura
00000000002126,Corrosión y Biomateriales;Expansión de Fases Normales Creadas por Láser;Fabricación de Cables y Cintas Superconductoras de Alta Temperatura Crítica;Fabricación de películas delgadas con superconductores de alta temperatura crítica;Fabricación y Caracterización de Celdas Solares tipo M-I-S con silicio poroso;Fabricación y Caracterización de Películas Delgadas de Dioxido de Vanadio;Fabricación y caracterización de materiales multiferroicos;Materiales Magnéticos y Propiedades Magnéticas;Recubrimientos duros en películas delgadas crecidas por plasma
00000000000316,Cuerpos plurales;Educación y aprendizaje;Imaginario social y Juventud
00000000002174,Desarrollo Sostenible;Desarrollo Turístico;Gestión Ambiental;Gestión Empresarial;Gestión Tecnológica;Innovaciones educativas;Legislación Turística;Marketing Turístico;Teleformación
00000000006175,Produccion y Transformacion Agropecuaria Sustentable;Productividad y Logística;Sostenibilidad Ambiental
00000000007952,Aplicaciones;Campos Finitos;Teoría de Códigos;Teoría de Grafos;Teoría de Números
00000000006505,"sistemas inteligentes;Accesibilidad en aplicaciones interactivas;Ingeniería de Software;Juegos serios;Seguridad Informática;Sistemas embebidos, instrumentación e IoT"
00000000007601,"Argumentación, pedagogía y aprendizaje;Educación y desarrollo humano;Filosofía, educación y tecnología;Gestión del conocimiento e innovacción;Pedagogías mediadas por TIC"
00000000015873,"CIENCIAS APLICADAS AL DEPORTE;DERECHO PROCESAL;DERECHO PÚBLICO Y PRIVADO;DESARROLLO, EMPRENDIMIENTO Y SOCIEDAD;EDUCACIÓN Y PEDAGOGIA"
00000000016909,Construcción de paz;Derecho Social
00000000011727,"Comunicación y cambio social;Comunicación, participación y medios"
00000000022270,Cultura y apropiación social en entornos organizacionales;Soluciones compostables;Transferencia de conocimientos y tecnologías
00000000021902,"ACONDICIONAMIENTO FÍSICO;DEPORTE, ACTIVIDAD FÍSICA Y SALUD;ENTRENAMIENTO DEPORTIVO;TENDENCIAS ACTUALES EN LA ACTIVIDAD FÍSICA"
00000000002175,"Antropología de las creencias y las religiones;Historia de la Antropología, tendencias y problemas teórico-metodológicos de la disciplina;Antropología del Conocimiento y  la Tecnología;Antropología política: identidad, poder y conflicto;Arqueología;Imagen y medios;Procesos y cambio social en las modernidades: Identidad, Drogas, Tecnologías;Relaciones de Género y re-constitución de sociedades y culturas;Sociedad & Ambiente"
00000000019590,CIENCIAS BASICAS BIOMEDICAS Y FUNCION CORPORAL;ONTOGENIA Y DESARROLLO DE LOS SISTEMAS CORPORALES;PROCESOS EDUCATIVOS EN CIENCIAS BÁSICAS BIOMÉDICAS
00000000002129,Aprovechamiento de la Biomasa;Instrumentación Analítica;Medio Ambiente
00000000001155,"Derecho Público, Estado, Poder Político y justicia;Dogmática Penal en el Sistema Acusatorio"
00000000015570,CULTURA Y PRÁCTICAS TRADICIONALES;GASTRONOMÍA Y COCINA DE VANGUARDIA
00000000011867,"Comunicación, Procesos organizativos y Sociedad;Los discursos periodísticos;Medios, Política y Sociedad;Narrativas, estética y política;Pedagogías y metodologías en trabajo con perspectiva de género"
00000000000592,Comercialización y certificación de productos agropecuarios;Educación Formal y No Formal;Enfoques para el estudio de la Agroindustria Rural;Gestion territorial y ambiental;Políticas para el Sector Rural;Producción Sustentable para el Trópico
00000000002135,Clínica;Ecología;Fisiología animal;Toxinología;Zoología
00000000002161,Bioprospección de compuestos químicos orgánicos e inorgánicos;Cáncer;Enfermedades Infecciosas;Inmunología;Medicina Forense;Psiconeuroinmunología
00000000002936,"Comunicación, Educación e inclusión social;Procesos oromotores, voz y de ingestión de alimentos en enfermedades crónicas no transmisibles;Salud auditiva y comunicativa"
00000000004650,"Biotecnologia en Salud;Calidad de vida y Salud en las etapas de la vida;Deporte y Actividad Física;Discapacidad, Diversidad y Corporeidad;Metabolismo y nutrición"
00000000008152,"Aprovechamiento Integral de Materias Primas, Subproductos y Residuos  Agroindustriales;Estudio de Metabolitos de origen Animal y Vegetal;Innovación en la enseñanza de la química;Síntesis química"
00000000007141,"Cultura de paz;DERECHO, POLÍTICA Y GLOBALIZACIÓN;Diversidades, cultura jurídica y derechos diferenciados;FILOSOFIA DEL DERECHO;FILOSOFIA POLÌTICA;HERMENEUTICA ANALÒGICA;Problemas del Derecho Laboral y de la Seguridad Social"
