idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,nombre_comercial,institucion,autores
00000000000095,False,Otro,Conferencia Seminario Taller de Investigación Biomédica,Colombia,2009,,,UNIVERSIDAD SURCOLOMBIANA,MARIO FRANCISCO DELGADO NOGUERA
00000000000095,False,Otro,Cartilla: Recorriendo los caminos de la Bota Caucana y el Macizo Colombiano.,Colombia,2001,,,Grupo de investigaciones en Amazonia GIA,"CAROLINA DEL CAIRO SILVA, ASTRID LORENA PERAFAN LEDEZMA"
00000000000625,False,Otro,"Creacción de un escenario de investigación , con el fin de integrar investigacion, conservación y producción",Colombia,2004,,,UNIVERSIDAD DEL CAUCA- GOBERNACION DEL DEPARTAMENTO DEL CAUCA - CRC,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA"
00000000000625,False,Otro,"Evaluación del comportamiento productivo y resistencia a varroa de 3 reinos de abejas Apis mellifera, seleccionadas de los apiarios del Cauca y una introducida",Colombia,2004,Irrestricta,,propias,"NELSON VIVAS QUILA, HORACIO RENE BADOS"
00000000000625,False,Otro,Creación de Un Arboretum en ñla Facultad de Ciencias Agropecuarias,Colombia,2005,,,UNIVERSIDAD DEL CAUCA,SANDRA MORALES VELASCO
00000000000625,False,Otro,Diseño de un Biofiltro con Poaceaes para la fitodepuración de aguas en sistemas agropecuarios,Colombia,2018,No restringido,,Departamento Nacional De Planeación - Dnp,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA, JHON FREDDY GUTIERREZ SOLIS"
00000000002191,False,Otro,"Sinteis de un fertilizante foliar a partir de un residuo industrial, La Vinaza.",Colombia,2000,Irrestricta,,No Aplica,ALEXANDER ZUNIGA COLLAZOS
00000000002191,False,Otro,Guía practica para el cultivo de peces con sustitución parcial de concentrado comercial por lombriz roja californiana,Colombia,2001,Irrestricta,,Programa Nacional De Transferencia De Tecnología Agropecuaria - Pronatta,ISABEL DEL SOCORRO BRAVO REALPE
00000000002191,False,Otro,Guía practica para la elaboración de Abonos a partir de desechos agropecuarios,Colombia,2001,,,No Aplica,ISABEL DEL SOCORRO BRAVO REALPE
00000000002191,False,Otro,"100 fichas técnicas sobre evaluación física, química y biológica de suelos con su respectiva recomendación",Colombia,2004,Irrestricta,,Pronnatta,ISABEL DEL SOCORRO BRAVO REALPE
00000000002191,False,Otro,Aprendiendo de nuestro recurso suelo,Colombia,2004,Irrestricta,,Pronnatta,ISABEL DEL SOCORRO BRAVO REALPE
00000000003853,False,Otro,Prpopuesta y análisis de viabilidad para el establecimiento de una Parcela Permanente de Investigación en la Reserva Natural Tambito,Colombia,2005,,,Fundación Pro Selva,"EDDY CATALINA CASAS CRUZ, DIANA MUNAR MEDINA"
00000000003853,False,Otro,Coleccion de Referencia de Hormigas y Mariposas de tres zonas del Departamento del Cauca,Colombia,2007,,,Proselva-Cipav-Atizo,"GISELLE ZAMBRANO GONZALEZ, GUIDO ORTIZ, JUAN PABLO DIAZ, YAMID MERA, ALVARO GALVIS"
00000000010589,False,Otro,"Definición Marco Lógico Consultoria en temas de género para el proyecto de vivienda denominado ""Ciudad Futuro Las Guacas"".",Colombia,2009,Restringido,Marco Lógico Capacitación Las Guacas.,Banco Interamericano de Desarrollo. Washington,"MARIA GLADYS ARISTIZABAL DE OREJUELA, LILIANA VARGAS AGREDO, LIDA PATRICIA RIVERA PALOMINO, EDWARD ARMANDO PINZON QUESADA, MANUEL ALEJANDRO LOSADA ROMERO"
00000000010589,False,Otro,"Formulación Metodológica para el desarrollo de la Consultoría en temas de Género para el Proyecto de vivienda denominado "" Ciudad Futuro Las Guacas"".",Colombia,2009,Restringido,Metodologia Consultoria en temas de Género Ciudad Futuro Las Guacas,Banco Interamericano de Desarrollo. Washington,"MARIA GLADYS ARISTIZABAL DE OREJUELA, LILIANA VARGAS AGREDO, LIDA PATRICIA RIVERA PALOMINO, EDWARD ARMANDO PINZON QUESADA, MANUEL ALEJANDRO LOSADA ROMERO"
00000000010589,False,Otro,PROPUESTA ESTRUCTURA CURRICULAR ESPECIALIZACION GESTION DEL RIESGO Y DESARROLLO URBANO,Colombia,2011,Restringido,Contenido curricular Gestion del riesgo y desarrollo urbano,FUNDACION UNIVERSITARIA DE POPAYAN,"LILIANA VARGAS AGREDO, IVAN HERNANDO CAICEDO RUBIANO"
00000000010589,False,Otro,APROXIMACION AL ESTADO DEL ARTE RIESGO-DESARROLLO URBANO.COLOMBIA,Colombia,2011,Restringido,Aproximación a un estado del arte RIESGO-DESARROLLO.COLOMBIA,FUNDACION UNIVERSITARIA DE POPAYAN,"LILIANA VARGAS AGREDO, IVAN HERNANDO CAICEDO RUBIANO"
00000000010589,False,Otro,Análisis Planimétrico Edificios Industria Licorera del Cauca,Colombia,2012,Restringido,Análisis planimetrico ILC,FUNDACION UNIVERSITARIA DE POPAYAN,"JAIME ALBERTO DORADO JOAQUI, JULIAN ALBERTO PALECHOR BRAVO"
00000000010589,False,Otro,Caracterización Infraestructura Industria Licorera del Cauca,Colombia,2012,Restringido,Caracterización espacial y funcional de la ILC,FUNDACION UNIVERSITARIA DE POPAYAN,"JAIME ALBERTO DORADO JOAQUI, JULIAN ALBERTO PALECHOR BRAVO, LILIANA VARGAS AGREDO"
00000000010741,False,Otro,24 listas de chequeo,Colombia,2007,No restringido,Documento Listas de Cheque para Trapiches Paneleros,Departamento del Cauca,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,"Planos de construcción, incluyendo el estructural, hidráulico y sanitario, para trapiches Paneleros Pilotos",Colombia,2007,No restringido,Diseños y Palnos de trapiches paneleros,Departamento del Cauca,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Modelo virtual para la adecuación de la agroindustria panelera,Colombia,2007,No restringido,Modelo virtual para la adecuación de la agroindustria panelera,Departamento del Cauca,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,24 Propuestas para el mejoramiento de los trapiches pilotos,Colombia,2007,Restringido,Propuestas de Mejoramiento para Trapiches Paneleos Pilotos,Departamento del Cauca,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,24 Diagnósticos de trapiches paneleros pilotos,Colombia,2007,Restringido,24 Diagnósticos de trapiches paneleros pilotos,Departamento del Cauca,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,"Planes de manejo higiénico, sanitario ambiental",Colombia,2007,Restringido,"Planes de manejo higiénico, sanitario ambiental",Departamento del Cauca,FREDY EDUARDO LOPEZ DAZA
00000000000625,False,Otro,"ASPECTOS REPRODUCCITIVO DEL Helix aspersa, como opcion de zoocria en la Facultad de Ciencias Agropecuarias",Colombia,2004,,,UNIVERSIDAD DEL CAUCA- GRUPO DE INVESTIGACION NUTRICION AGROPECUARIA,"SANDRA MORALES VELASCO, NELSON VIVAS QUILA"
00000000001162,False,Otro,El papel del cooperativismo en el discurso del desarrollo rural durante la decada de los 70 y 80 para el departamento del Cauca.,Colombia,2005,Restricta,,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,CARLOS CORREDOR JIMENEZ
00000000012484,False,Otro,Agroprecios FUP,Colombia,2019,No restringido,Agroprecios FUP,FUNDACION UNIVERSITARIA DE POPAYAN,YENI FERNANDA CASTRILLON SANCHEZ
00000000006175,False,Otro,"SISTEMA DE MONITOREO PERMANENTE DE PRESIÓN TEMPERATURA EN FONDO DE POZO, MULTIPLE O SERIAL EN TIEMPO REAL",Colombia,2016,No restringido,"SISTEMA DE MONITOREO PERMANENTE DE PRESIÓN TEMPERATURA EN FONDO DE POZO, MULTIPLE O SERIAL EN TIEMPO REAL",Instituto Colombiano Del Petróleo,"LUZ ADRIANA PLAZAS PEMBERTHY, CARLOS AUGUSTO ANDRADE ERASO, ALVARO PRADA VELASQUEZ, ANDRES EDUARDO MANTILLA ZARATE, GERMAN CASTILLO SALAMANCA, JORGE ANDRES PRADA MEJIA"
00000000002175,False,Otro,Portal Resguardo Indigena de Purace Cauca,Colombia,2009,Restringido,,No Aplica,DANIEL ANDRES MERA ESCOBAR
00000000002175,False,Otro,http://www.observadhores.org/,Colombia,2016,No restringido,Observadhores,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) ProFis,WALTER JULIAN QUINCHOA CAJAS
00000000011727,False,Base de datos de referencia para investigacion,Plataforma de datos para georreferenciación FUPDHES,Colombia,2018,No restringido,Plataforma de georreferenciación FUPDHES,FUNDACION UNIVERSITARIA DE POPAYAN,"DEYANIRA CALDERON TORRES, KELLY GIOVANNA MUNOZ BALCAZAR"
00000000007601,False,Otro,Proyecto de lectoescritura y mejoramiento docente,Colombia,2006,Irrestricta,,Colegio de Buesaquillo,PAULA ANDREA MORA PEDREROS
00000000007601,False,Otro,Objeto Virtual de Aprendizaje: El mito de la caverna,Colombia,2010,Restringido,,No Aplica,PAULA ANDREA MORA PEDREROS
00000000007601,False,Otro,Objeto Virtual de Aprendizaje: La argumentación evidencia de la categorización del awapit,Colombia,2011,Restringido,,No Aplica,PAULA ANDREA MORA PEDREROS
00000000007601,False,Otro,GAMOTION,Colombia,2019,Restringido,GAMOTION,No Aplica,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA"
00000000007601,False,Otro,PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,Colombia,2020,Restringido,PLATAFORMA SOFTWARE OBSERVATORIO FILOSÓFICO VIRTUAL,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA"
00000000007601,False,Otro,SISTEMA MOOC CATEDRA DE PAZ,Colombia,2020,Restringido,SISTEMA MOOC CATEDRA DE PAZ,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA,"GUSTAVO EDUARDO CONSTAIN MORENO, MANUEL JOSE SANTIAGO PAJAJOYO, PAULA ANDREA MORA PEDREROS, ANDRES FABIAN ARIAS NORENA"
00000000006175,False,Otro,Apicultura de Alto Valor,Colombia,2007,Restricta,,Ministerio De Agricultura Y Desarrollo Rural - Minagricultura,JOSE WILDEMAN ORDONEZ VALVERDE
00000000002174,False,Otro,TECNOCULTURALIDAD APLICADA AL TURISMO,Colombia,2004,Restringido,TECNOCULTURALIDAD,UNIVERSIDAD DEL CAUCA,ANDRES JOSE CASTRILLON MUNOZ
00000000002174,False,Otro,Inventario de Productos Turísticos del departamento del Cauca (Colombia),Colombia,2009,Restringido,http://www.siturismocauca.com/,Departamento del Cauca,"ANDRES JOSE CASTRILLON MUNOZ, LUISA FERNANDA ZAPATA ARANGO, JOSE REINALDO MUNOZ RADA, JAIME BURBANO CASTILLO, JOHN ORTIZ"
00000000012079,False,Otro,"Columna de adsorción con carbón activado en polvo, flujo descendente",Argentina,2018,No restringido,Columna de adsorción,CIM-UNLP-CONICET,NASLY YANID DELGADO ESPINOSA
00000000010829,False,Base de datos de referencia para investigacion,plataforma de gestión de convocatorias y proyectos de investigación de la Fundación universitaria de popayán,Colombia,2019,Restringido,sistema digital de gestión de la investigación,FUNDACION UNIVERSITARIA DE POPAYAN,"DANIEL ANDRES FERIZ GARCIA, EDWIN MAURICIO REALPE GRIJALBA, ISMAEL REYES PAYAN"
00000000005361,False,Otro,MANUAL PARA EL MANEJO DE LA VEGETACIÓN EN EL ESPACIO PÚBLICO DE POPAYAN - CAUCA,Colombia,2007,Restringido,,No Aplica,ISABEL RAMIREZ MEJIA
00000000010553,False,Otro,MODELO DE GESTIÓN BASADO EN EL CUADRO DE MANDO INTEGRAL PARA LA INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DEL CAUCA DE LA CIUDAD DE POPAYÁN,Colombia,2011,Restringido,Cuadro de Mando Integral,Colegio Mayor Del Cauca - Institución Universitaria,CARLOS HERNAN ANDRADE FALLA
00000000015901,False,Otro,"EcoSecador de café, optimización",Colombia,2018,Restringido,EcoSecador de café,UNIVERSIDAD DEL CAUCA,"JULIO ANDRES MOSQUERA BOLANOS, JULIAN ANDRES CAICEDO MUNOZ, DIEGO MANUEL DUSSAN MUNOZ, JOHN ROBERT MUNOZ CHAVEZ, JORGE ELIECER MANRIQUE JULIO"
00000000002192,False,Otro,Propuesta metodológica para la presentación de proyectos,Colombia,2006,Irrestricta,,RECURSOS PROPIOS,OLGA LUCIA CADENA DURAN
00000000002192,False,Otro,Fichas etnobotánicas,Colombia,2014,No restringido,Fichas etnobotánicas,UNIVERSIDAD DEL CAUCA,OLGA LUCIA CADENA DURAN
00000000012484,False,Otro,De la finca a la casa - Chayani,Colombia,2019,No restringido,De la finca a la casa - Chayani,FUNDACION UNIVERSITARIA DE POPAYAN,LUIS PLINIO COLLAZOS ROBLES
00000000010741,False,Otro,PROTOCOLO DE CERTIFICACION EN COMERCIO JUSTO PARA LA ASOCIACIÓN DE MUJERES CAFICULTORAS DEL CAUCA AMUCC,Colombia,2007,No restringido,PROTOCOLO DE CERTIFICACION,FUNDACION UNIVERSITARIA DE POPAYAN,SONIA DEL CONSUELO GAVIRIA ARMERO
00000000010741,False,Otro,PROTOCOLO DE CERTIFICACION EN COMERCIO JUSTO PARA LA ASOCIACION DE PRODUCTORES AGROPECURARIOS DEL ROSARIO CAJIBIO - NUEVA INTEGRACION - ASPROANIN,Colombia,2007,No restringido,PROTOCOLO DE CERTIFICACION,FUNDACION UNIVERSITARIA DE POPAYAN,SONIA DEL CONSUELO GAVIRIA ARMERO
00000000010741,False,Otro,Distribución en planta de 21 centros paneleros,Colombia,2008,No restringido,Diseños de trapiches paneleros,Union Europea,FREDY EDUARDO LOPEZ DAZA
00000000003965,False,Otro,Proceso de obtención de películas biodegradables para la fabricación de guantes para el consumo de alimentos,Colombia,2016,No restringido,Guante desechable Biodegradable,"Ministerio de Ciencia, Tecnología e Innovación.","GIOVANNI ALEJANDRO VARONA BELTRAN, KAREN DELGADO DELGADO, CAMILO ELIAS MONTILLA BUITRAGO, HECTOR SAMUEL VILLADA CASTILLO"
00000000003965,False,Otro,"Proceso de obtención de películas biodegradables flexibles compuestas por almidón de yuca, ácido poliláctico y policaprolactona",Colombia,2011,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,"Proceso de obtención de un material compuesto por harina de yuca, fibra de fique y glicerina",Colombia,2011,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,Biodegradable packaging obtained from cassava flour and fique fiber and their manufacture process,Colombia,2012,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,Biodegradable films obtained from cassava starch and their manufacture process,Colombia,2012,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,Seminario Internacional de Agroindustria,Colombia,2012,,,No Aplica,HECTOR SAMUEL VILLADA CASTILLO
00000000003212,False,Otro,Base de Datos de la Encuesta Sociolingüística Lenguas Nasa Yuwe y Namtrik,Colombia,2008,Restringido,,No Aplica,TULIO ENRIQUE ROJAS CURIEUX
00000000003965,False,Base de datos de referencia para investigacion,Buenas Prácticas de Formulación de Proyectos,Colombia,2007,,,Ministerio De Agricultura Y Desarrollo Rural - Minagricultura,HECTOR SAMUEL VILLADA CASTILLO
00000000003625,False,Otro,BD Agendamiento de citas,Colombia,2011,,,No Aplica,CESAR AUGUSTO GOMEZ VILLAMARIN
00000000006312,False,Otro,IMPACTO DEL MICROCREDITO EN EL DESARROLLO PRODUCTIVO Y LAS CONDICIONES DE VIDA DE LA CIUDAD DE POPAYÁN. UNA APROXIMACIÓN INTEGRAL,Colombia,2008,Restricta,,FUNDACION MUNDO MUJER,"ZORAIDA RAMIREZ GUTIERREZ, CARLOS ENRIQUE CORREDOR, OLGA LUCIA CADENA, BERNARDO JAVIER TOBAR"
00000000015254,False,Otro,Prototipo Software MECAPS,Colombia,2017,Restringido,,SERVICIO NACIONAL DE APRENDIZAJE SENA,LUIS ENRIQUE GARZON VELA
00000000015254,False,Otro,Prototipo software ARCHINET,Colombia,2018,Restringido,Archinet,SERVICIO NACIONAL DE APRENDIZAJE SENA,LUIS ENRIQUE GARZON VELA
00000000015254,False,Otro,Método que apoya la ejecución de proyectos software desarollados por aprendices del programa de formación tecnológica Análisis y Desarrollo de Sistemas de Información - ADSI del Centro de Comercio y Servicio del SENA,Colombia,2019,No restringido,,SERVICIO NACIONAL DE APRENDIZAJE SENA,"CARLOS ERNESTO MAYA VALLEJO, LUIS ENRIQUE GARZON VELA"
00000000007096,False,Otro,KARAGABI KMMODEL: MODELO DE REFERENCIA PARA LA INTRODUCCIÓN DE INICIATIVAS DE GESTIÓN DEL CONOCIMIENTO EN ORGANIZACIONES BASADAS EN CONOCIMIENTO,Colombia,2008,Restringido,KARAGABI KMMODEL,No Aplica,"CAROLL ZULEIMA JOAQUI TRUJILLO, ALBERTO DE JESUS GONZALEZ RAMIREZ"
00000000007096,False,Otro,HERRAMIENTA TECNOLOGICA DE TRABAJO COLABORATIVO,Colombia,2009,Restringido,Gestión de Conocimiento y Trabajo Colaborativo Red de Software del Cauca,CÁMARA DE COMERCIO DEL CAUCA,"CAROLL ZULEIMA JOAQUI TRUJILLO, ALBERTO DE JESUS GONZALEZ RAMIREZ"
00000000007096,False,Otro,SISTEMA AUTOPORTANTE Y MÉTODO PARA LA COMUNICACIÓN Y DISTRIBUCIÓN MASIVA DE CONTENIDOS Y PUBLICIDAD DIGITAL EN ESPACIOS PÚBLICOS,Colombia,2017,Restringido,Robot Visual,"Ministerio de Ciencia, Tecnología e Innovación.",GABRIEL EDUARDO RENGIFO RIOS
00000000007096,False,Otro,SELF-SUPPORTING SYSTEM AND A METHOD FOR THE MASS COMMUNICATION AND DISTRIBUTION OF CONTENT AND DIGITAL ADVERTISING IN PUBLIC SPACES,Colombia,2018,Restringido,Robot Visual,"Ministerio de Ciencia, Tecnología e Innovación.",GABRIEL EDUARDO RENGIFO RIOS
00000000004806,False,Otro,Apicultura de Alto Valor,Colombia,2007,Restricta,,Ministerio De Agricultura Y Desarrollo Rural - Minagricultura,JOSE WILDEMAN ORDONEZ VALVERDE
00000000003965,False,Base de datos de referencia para investigacion,Formulación de Proyectos- Ministerio de Agricultura y Desarrollo Rural,Colombia,2008,,,Ministerio De Agricultura Y Desarrollo Rural - Minagricultura,HECTOR SAMUEL VILLADA CASTILLO
00000000005833,False,Otro,Patente de invención titulada Sistema y método para medición del contenido de agua o corte de agua en mezcla de petróleo/gas-agua,Colombia,2017,No restringido,Sistema y método para medición del contenido de agua o corte de agua en mezcla de petróleo/gas-agua,ECOPETROL S. A.,DAVID ARMANDO REVELO LUNA
00000000010741,False,Otro,MODELO DE GESTIÓN PARTICIPATIVA PARA LA ASOCIACION DE MUJERES CAFICULTORAS DEL CAUCA - AMUCC,Colombia,2008,No restringido,MODELO DE GESTION PARTICIPATIVA AMUCC,FUNDACION UNIVERSITARIA DE POPAYAN,SONIA DEL CONSUELO GAVIRIA ARMERO
00000000010741,False,Otro,"Plan de manejo técnico ambiental para la agroindustria panelera, en el sur del Cauca",Colombia,2008,No restringido,Plan de Manejo Técnico Ambiental,Union Europea,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Diseño de hornillas paneleras para 21 centros productivos,Colombia,2008,No restringido,Diseño hornillas paneleras,Union Europea,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Construcción de cuatro trapiches paneleros,Colombia,2009,No restringido,Adecuación de Trapiches Paneleros,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000008431,False,Base de datos de referencia para investigacion,"""SER"" EMPRENDEDOR",Colombia,2019,Restringido,FORMACIÓN DEL SER ORIENTADO AL EMPRENDIMINENTO,Corporación Centro de Desarrollo Tecnológico Cluster CreaTIC,"MARIA FERNANDA GUZMAN GONZALEZ, MARIA EUGENIA SALDARRIAGA SALAZAR, EDUARDO ANDRES CONCHA CERON"
00000000010741,False,Otro,Introducción de nuevas variedades de caña para la producción de panela,Colombia,2009,No restringido,Variedades de caña para panela en el Cauca,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Establecimiento de Bosques endoenergéticos en 200 fincas de productores de panela,Colombia,2009,No restringido,Bosques Endoenergeticos,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Diseños y planos para la construcción de cuatro trapiches paneleros,Colombia,2009,No restringido,Diseños y Planos de Trapiches Paneleros,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000007827,False,Otro,Análisis y Diseño para la aplicación BALANCE SCORE CARD,Colombia,2009,Restringido,BALANCE SCORE CARD,FUNDACION UNIVERSITARIA DE POPAYAN,LUIS FREDDY MUNOZ SANABRIA
00000000008160,False,Otro,Distribucíón de Procesos de Negocio en Sistemás Móviles de Infomación basado en un Algoritmo deHormigas,Colombia,2008,Restringido,Tesis de Pregrado,UNIVERSIDAD DEL CAUCA,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, ANDRES GUERRERO, JOSE ARMANDO ORDONEZ"
00000000000668,False,Otro,Cartilla: Recorriendo los caminos de la Bota Caucana y el Macizo Colombiano.,Colombia,2001,,,Grupo de investigaciones en Amazonia GIA,"CAROLINA DEL CAIRO SILVA, ASTRID LORENA PERAFAN LEDEZMA"
00000000000668,False,Otro,Analisis e identificacion de los restos oseos de Franciaso Jose de Caldas,Colombia,2007,,,UNIVERSIDAD DEL CAUCA,"PAOLA ANDREA TOVAR TOVAR, GILLERMO MAMBAGUE PINIMUE, PATRICIA VILLAMARIN, ELIZABETH TABARES TRUJILLO"
00000000008431,False,Otro,PEI EN LAS AREAS OPTATIVAS DE GESTION EMPRESARIAL EN LA INSTITUCION EDUCATIVA TOMAS CIPRIANO DE MOSQUERA DE LA CIUDAD DE POAPYAN,Colombia,2007,Restringido,PEI,Colegio Mayor Del Cauca - Institución Universitaria,MARIA EUGENIA SALDARRIAGA SALAZAR
00000000008431,False,Otro,DISEÑO DE UN MODELO PARA LA IMPLEMENTACION DE UNA HERRAMIENTA DE BASE TECNOLOGICA A BAJO COSTO BASADA EN EL PROTOTIPO (MAKE-BLOCK) EMPLEANDO LA PLACA ARDUINO. QUE INTERACTUE DE MANERA DINAMICA CON LAS METODOLOGIAS DE APRENDIZAJE EN EMPRENDIMIENTO EN LAS INSTITUCIONES DE EDUCACION MEDIA TECNICA DE LA,Colombia,2016,No restringido,HERRAMIENTA DE BASE TECNOLOGICA A BAJO COSTO BASADA EN EL PROTOTIPO (MAKE-BLOCK),Colegio Mayor Del Cauca - Institución Universitaria,"MARIA FERNANDA GUZMAN GONZALEZ, EDNA MARIANA AGUILAR MALES, MARIA EUGENIA SALDARRIAGA SALAZAR"
00000000000592,False,Otro,especies forestales asociadas a los guaduales: Guia de campo para la identificación taxonómica,Colombia,2006,,,No Aplica,ROMAN OSPINA MONTEALEGRE
