idgruplac,programa,fecha,acto,institucion
00000000002156,Maestría en Ingeniería Ambiental,2019-05-22,Acuerdo Superior Nro. 023 de 2019,Universidad del Cauca
00000000002184,MAESTRÍA EDUCACIÓN POPULAR SANTANDER,2014-07-16,11276,Universidad del Cauca
00000000002184,MAESTRÍA EN EDUCACIÓN POPULAR POPAYAN,2015-07-14,11043,Universidad del Cauca
00000000000095,Maestria en Ciencias Biomedicas,2006-03-01,Programa de Maestria en Ciencias Biomedicas,Universidad del Cauca
00000000000095,Especialización en Pediatría,1998-04-06,Acuerdo 035 del 24 de junio de 1992,Universidad del Cauca
00000000000095,Rotación electiva estudiantes de internado,2006-04-01,resolución de aprobación 002479/80,Universidad del Cauca
00000000003369,Maestría en Biología,2015-06-09,08328,Universidad Del Cauca - Unicauca
00000000003369,MAESTRIA EN RECURSOS FITOGENETICOS,,,UNIVERSIDAD NACIONAL SEDE PALMIRA
00000000003369,DOCTORADO EN CIENCIAS AMBIENTALES,,,Universidad del Cauca
00000000004638,CIENCIAS AGROPECUARIAS - AREA AGRARIA,,,Universidad Nacional De Colombia
00000000004638,Maestría en Ciencias Agroindustriales,2014-12-03,Acuerdo 063,Universidad del Cauca
00000000004638,Maestria en Ciencias: Quimica,2010-11-22,Resolución 10202,Universidad del Cauca
00000000008150,Maestría en Matemáticas,1997-05-27,Acuerdo 0096,Universidad de Antioquia
00000000008150,Maestría en Ciencias Matemáticas,2007-11-09,Resolucion No. 6822 MEN,Universidad del Valle
00000000008150,Maestría en Ingeniería Telemática,,,Universidad del Cauca
00000000008150,Maestría en Ciencias Matemáticas,2010-06-24,Resolucion No. 5119 MInisterio Educacion Nacional,Universidad del Cauca
00000000004277,MAESTRIA EN CIENCIAS AGRARIAS,2015-07-06,09745 Registro calificado,Universidad del Cauca
00000000002178,Maestria en Antropologia Juridica,,,Universidad del Cauca
00000000010009,Maestría en Ingeniería Física,2005-11-08,Acuerdo 083 del 8 de noviembre de 2005,Universidad del Cauca
00000000017064,Maestría en Gobierno y Políticas Públicas,2016-01-14,Resolución No 00403,Universidad del Cauca
00000000008591,Maestría en Música,2015-05-14,Snies 104526,Universidad del Cauca
00000000006312,Maestría en Contabilidad y Finanzas,2015-02-03,01332,Universidad del Cauca
00000000003625,Doctorado en Ingeniería Telemática,2008-08-25,Doctorado en Ingeniería Telemática.,Universidad del Cauca
00000000003625,Maestría en Ingeniería,2003-02-13,Maestría en Ingeniería. Area Telemàtica,Universidad del Cauca
00000000003625,Maestria en Gestion de las Organizaciones y Proyectos,2014-07-14,Resolucion 11044,Universidad del Cauca
00000000001014,Maestría en Educación,2008-06-27,RESOLUCION MEN NO. 3980,Universidad del Cauca
00000000008151,Maestría en Ingeniería Física,,,Universidad Del Cauca - Unicauca
00000000008155,Maestría en Ingeniería Física,2010-12-09,VRA - 644 de 2010,Universidad Del Cauca - Unicauca
00000000002127,Maestría en Ciencias - Química,2009-11-18,080,Universidad del Cauca
00000000003212,Maestría en Revitalización y Enseñanza de Lenguas Indígenas,2014-11-19,050,Universidad del Cauca
00000000003212,Maestría en Historia,2010-05-27,4229 del 27 de mayo de 2010,Universidad del Cauca
00000000003212,Maestría en Ética y Filosofía Política,2010-07-23,6432,Universidad del Cauca
00000000003212,Maestría en Antropología,2009-09-16,Resolución N°6472 de 2009,Universidad del Cauca
00000000004639,Maestría en Educación,2005-08-02,Acuerdo 048 de 2005 - Consejo Superior,Universidad del Cauca
00000000003965,Maestría en Ciencias Agroindustriales Sede Popayán,2014-12-03,Acuerdo superior Numero 063 DE 2014,Universidad del Cauca
00000000003965,Maestría en Ciencias Agroindustriales Sede Santand,2014-12-03,Acuerdo superior Numero 063 DE 2014,Universidad del Cauca
00000000003965,Maestria en Ciencias: Quimica,2011-01-28,Acuerdo Nº 018 de 2009 y Res. Nº 10202 de 2010,Universidad del Cauca
00000000002153,Maestria en Electrónica y Telecomunicaciones (R),2014-12-30,Resolución 22846 del Ministerio de Educación,Universidad del Cauca
00000000002153,Maestria en Telecomunicaciones,2015-06-18,08766 del Ministerio de Educación Nacional,Universidad del Cauca
00000000002153,Maestría en Electrónica y Telecomunicaciones,2008-09-26,Resolución 6490 del Ministerio de Educacion Nal.,Universidad del Cauca
00000000002153,Maestría en Ingeniería Área Ingeniería Electrónica y Telecomunicaciones,2003-04-21,Resolución 774 del Ministerio de Educación Nal,Universidad del Cauca
00000000009220,Maestría en Diseño y Creación Interactiva,2020-06-04,"Diseño, Arte, Ciencia y Tecnología G5H0267",Universidad de Caldas
00000000018223,Maestría en gestión de las organizaciones,2014-07-14,103477,Universidad del Cauca
00000000015675,Maestría en Ingeniería del Software,2018-08-01,Res. No. 22953 del 14 de Diciembre del 2016,Universidad De San Buenaventura - Sede Cali - Usbcal
00000000015675,Maestría en tecnologias de la información para la analítica de datos,2019-03-18,Res. No. 2737. 18 marzo 2019 - 7 años,Universidad San Buenaventura - sede Cali
00000000015675,Maestría en Educación,2015-07-23,10924 del 23 de julio de 2015.,Universidad del Cauca
00000000008156,Maestría en geomática,2016-03-29,05574,Universidad del Cauca
00000000008156,Maestría en ingeniería de vías terrestres,2015-07-13,10075,Universidad del Cauca
00000000008156,Maestría en Ingeniería de Tránsito y Transporte,2015-05-14,06928,Universidad del Cauca
00000000002141,Maestría en Biología,2015-06-09,08328 del Ministerio de Educación Nacional,Universidad del Cauca
00000000002141,Maestría en Bioingeniería,2017-03-15,04682 del Ministerio de Educación Nacional,Universidad del Cauca
00000000014080,Maestria en Computacion,2014-05-30,Resolución N° 8112,Universidad del Cauca
00000000000694,Maestría en Automática,2008-07-18,Resolución 4562 Ministerio de Educación Nacional,Universidad del Cauca
00000000000694,"Maestría en Ingeniería, Area Electrónica",2003-04-11,Resolución 774 Ministerio de Educación Nacional,Universidad del Cauca
00000000000694,Maestría en Ingeniería Electrónica,2011-04-29,Resolución 3584 Ministerio de Educación Nacional,Universidad Del Cauca - Unicauca
00000000000668,Maestría en Ciencias Humanas,2015-03-13,03275,Universidad del Cauca
00000000000668,Maestría en Antropología,2009-09-16,MEN 6472,Universidad del Cauca
00000000002726,Maestría en eduación,2008-06-27,Resolución 3980 Mineducación,Universidad del Cauca
00000000002726,Maestría en Ciencias Humanas,2015-03-13,Resolución N° 03275,Universidad del Cauca
00000000002726,Maestría en Comunicación y Procesos Organizativos,2016-05-18,09480,Universidad del Cauca
00000000008160,"Maestría en Ingeniería, Área Telemática",2003-02-13,44,Universidad del Cauca
00000000003853,Maestría en Biología,2015-06-09,08328,Universidad del Cauca
00000000002146,Maestria en Ciencia y Tecnología Agroalimentaria,2006-06-06,Resolución,Universidad del Cauca
00000000002191,Maestría en Recursos Hidrobiológicos Continentales,2015-04-15,04755,Universidad del Cauca
00000000002191,Maestria en Ciencias Quimicas,2011-02-15,10202,Universidad del Cauca
00000000004407,Maestría en Gobierno y Políticas Públicas,2016-01-14,00403,Universidad del Cauca
00000000004407,Maestria en Estudios Interdisciplinarios del Desar,2010-01-22,Resolución 10089 del MEN,Instituto de Posgrados FCCEA Universidad del Cauca
00000000001162,Maestría en Educación,2008-08-20,Acuerdo,Universidad del Cauca
00000000001162,Maestrìa en educaciòn - Desarrollo humano,2013-02-12,Resolución 1299 del 12 de febrero de 2013,Universidad San Buenaventura Cali
00000000001162,Maestría en Gestión de Organizaciones y Proyectos,2014-07-14,Resolución N° 11044 14 de julio de 2014,Universidad del Cauca
00000000001162,Maestría en estudios interdisciplinarios del desarrollo,2014-10-22,N° 17765 del 22 de octubre de 2014,Universidad de Nariño
00000000001162,Maestrìa en Educaciòn Popular,2014-07-14,Resolución N° 11043 del 14 de julio de 2014,Universidad del Cauca
00000000001162,Maestrìa en alta direcciòn de servicios educativos,2019-06-12,Res. No. 6084. 12 junio 2019,Universidad de San Buenaventura
00000000001162,Doctorado en Formación y diversidad,2016-01-14,Res 371 del 14 de enero del 2016,Universidad de Manizales
00000000001162,"Doctorado en ciencias sociales, niñez y juventud",2015-04-15,Res 05466 de abril de 2015,Universidad de Manizales
00000000001162,Maestría en Contabilidad y Finanzas,2015-02-03,Resolución No.01332,Universidad del Cauca
00000000001162,Maestría en Gestión de Organizaciones y Proyectos,2014-07-18,Resolución No.11014 de julio 18 de 2014,Universidad del Cauca
00000000001162,Maestría en Derechos Humanos,2012-10-10,Resolucion numero 12958 del 10 de octubre de 2012,Universidad Pedagógica y Tecnológica sede Chiquinqui
00000000001162,Maestria en Gestión empresarial,2008-07-04,Resolución N° 4168 del 4 de Julio de 2008,Universidad Libre sede Cali
00000000001162,Maestría en estudios interdisciplinarios del desarrollo,2009-12-11,Resolución No 10089 de diciembre 2009 MEN,Universidad del Cauca
00000000001162,Maestria en eudcación desde la diversidad,,,Universidad de Manizales
00000000010563,Especializacion en Anestesiología. SNIES 1110561709600110010,1997-02-04,Acuerdo No 13 de 04-02-1997,Universidad del Cauca
00000000016547,Maestría en Educación,2015-09-10,Acuerdo CS-07,Universidad Santiago de Cali
00000000016547,Maestría en Derecho,2016-07-05,Resolución CA-007,Universidad Santiago de Cali
00000000016547,Maestría en Educación Ambiental y Desarrollo Sostenible,2014-07-22,017,Universidad Santiago de Cali
00000000008153,Maestria en Ciencias: Quimica,2010-11-22,Acuerdo 018 CS 18 de Nov de 2009,Universidad del Cauca
00000000008153,Maestria en Ciencias: Quimica,1998-12-01,,Universidad de Caldas
00000000002192,Maestria estudios interdisciplinarios del desarrol,2009-12-14,RESOLUCION NUMERO 10089 DEL MINISTERIO DE EDUCACIO,Universidad del Cauca
00000000002192,Maestría en Contabilidad y Finanzas,2015-02-03,01332,Universidad del Cauca
00000000002192,Maestria estudios interdisciplinarios del desarrol,2014-03-05,Acuerdo Superior 017 de 2014 extensión de la MEID,Universidad de Nariño
00000000002192,Maestría en Gestión de Organizaciones y Proyectos,2014-07-18,"Código SNIES: 103477, Resolución No 11014 de julio",Universidad del Cauca
00000000012288,Maestría en Ética y Filosofía Política,2010-09-14,90695,Universidad del Cauca
00000000012288,Maestría en Educación,2013-08-08,90695,Universidad del Cauca
00000000012288,Maestría en Ciencias Humanas,2013-04-17,285,Universidad del Cauca
00000000002145,Maestría en Recursos Hidrobiológicos Continentales,1991-12-12,Acuerdo No. 298 de 1991,Universidad del Cauca
00000000002145,Maestría en Biología,2015-06-09,08328,Universidad del Cauca
00000000012834,Maestría en Ciencias Matemáticas,2009-11-18,Acuerdo No. 081,Universidad del Cauca
00000000002159,Maestría en Recursos Hidrobiológicos Continentales,1991-05-27,Resolución 084. Consejo Superior.Min Educación,Universidad del Cauca
00000000002159,Maestría en Biología,2015-06-09,08329,Universidad Del Cauca - Unicauca
00000000004672,Estudios Interdisciplinarios del desarrallo,2009-10-22,Resolucion 10089 Min educacion,Universidad del Cauca
00000000004672,Maestría en Gestión de Organizaciones y Proyectos,2014-07-14,11044,Universidad Del Cauca - Unicauca
00000000004672,Maestría en gestión de las organizaciones,2011-03-18,Resolución No. 2164,Universidad cooperativa de colombia
00000000004672,Maestría en Ética y Filosofía Política,2010-07-23,Resolución Registro Calificado 6432,Universidad del Cauca
00000000003792,Maestria en Computacion,2008-02-29,Resolucion 1125,Universidad del Cauca
00000000003792,Maestria en TICs,2012-07-05,111,Universidad Tecnológica de Panamá
00000000002157,Maestría en Ingeniería de Sistemas y Computación,2008-01-01,0000,Universidad del Norte
00000000002157,Maestria en Computacion,2007-10-02,067,Universidad del Cauca
00000000007099,Maestría en Ciencias Matemáticas,2009-06-21,Acuerdo 081 de 2009- Consejo Superior,Universidad del Cauca
00000000007099,Maestría en Ingeniería Física,2005-11-08,Acuerdo 083 del Consejo Superior,Universidad del Cauca
00000000012079,MAESTRIA EN CIENCIAS AGRARIAS Y AGROINDUSTRIA,2015-06-15,Resolución 09745,Universidad Del Cauca - Unicauca
00000000012079,Maestría en Ingeniería Ambiental,2019-05-22,ACUERDO SUPERIOR # 023 DE 22 DE MAYO DE 2019,Universidad del Cauca
00000000002142,Maestría en Recursos Hidrobiológicos Continentales,2015-11-15,04755,Universidad del Cauca
00000000002142,Maestría en Biología,2015-06-09,08328,Universidad Del Cauca - Unicauca
00000000001995,MAESTRIA EN DESARROLLO HUMANO Y SALUD,2019-11-27,ACUERDO 084 DE 2019,UNVERSIDAD DEL CAUCA
00000000002126,Maestría en Bioingeniería,2017-03-15,04682,Universidad del Cauca
00000000002126,Maestría en Ingeniería Física,2008-02-29,1126,Universidad Del Cauca - Unicauca
00000000000316,Maestría en Educación,2008-06-27,Acuerdo 048 de 2005,Universidad del Cauca
00000000000316,Maestría en Deporte y Actividad Física,2016-04-28,Resolución 08419,Universidad del Cauca
00000000000316,"Maestría en Educación, Estudios del cuerpo y la Motricidad",2015-03-13,03274,Universidad del Cauca
00000000000316,Maestria en Educación y Desarrollo humano,2013-08-23,Programación del programa,Universidad San Buenaventura de Cali
00000000000316,Maestría en educación física,2013-02-01,054,Universidad Surcolombiana
00000000007952,Maestría en Ciencias Matemáticas,2007-11-09,Resolucion No. 6822 MEN,Universidad Del Valle - Univalle
00000000007952,Maestría en Ciencias Matemáticas,2010-06-24,Resolucion No. 5119 MInisterio Educacion Nacional,Universidad del Cauca
00000000011727,Maestría en Estudios de Migración,2020-08-10,AE3023,Universidad Iberoamericana Ciudad de México
00000000011727,Maestría en Estudios sobre Migración,2019-08-08,677890,Universidad Iberoamericana Ciudad de México
00000000002175,Maestría en Turismo,2020-09-18,RESOLUCIÓN HCU-UEA-176-UEA-2020,Universidad Estatal Amazónica - Ecuador
00000000002175,Maestría en Antropología,2009-09-16,Código Snies: 54866 Resolución No 6472 del 16-9-09,Universidad del Cauca
00000000002129,Maestria en Ciencias Quimicas,2010-11-22,10202,Universidad del Cauca
00000000011867,Maestría en Artes integradas con el ambiente,2014-05-28,Acuerdo Superior 032,Universidad del Cauca
00000000011867,Maestría en Comunicación y Procesos Organizativos,2016-05-18,09480,Universidad del Cauca
00000000000592,Maestría en Gestión de Organizaciones y Proyectos,2014-07-14,11044 Registro Calificado,Universidad del Cauca
00000000000592,Maestría en Cooperación Internacional,2015-03-13,03280 Registro Calificado,Universidad del Cauca
00000000000592,MAESTRIA EN CIENCIAS AGRARIAS,2015-07-06,09745 Registro calificado,Universidad del Cauca
00000000000592,Maestría en Ciencias Agroindustriales,2014-12-03,Acuerdo 063 del Consejo Superior,Universidad del Cauca
00000000000592,Estudios Interdisciplinarios del Desarrollo,2009-12-29,Resolucion No. 10089- Ministerio Educacion Naciona,Universidad del Cauca
00000000002135,Maestría en Recursos Hidrobiológicos Continentales,1991-12-18,Acuerdo ICFES 298,Universidad del Cauca
00000000002135,Maestría en Biología,2015-06-09,Resolución número 08328 del MEN,Universidad del Cauca
00000000002161,Tesis para maestria- Ciencias Basicas Biomedicas,2006-11-24,Convenio Marco Cooperacion -Univalle- Unicauca,Universidad del Cauca
00000000002161,Especialización en Anatomía Patológica,1975-01-03,Acuerdo 03 de enero de 1975,Universidad del Cauca
00000000004650,MAESTRIA EN DESARROLLO HUMANO Y SALUD,2021-10-19,019531,Ministerio de Educación Nacional
00000000004650,Doctorado en Bioingenieria,2015-12-18,Acuerdo superior de diciembre de 2015,Universidad Del Cauca - Unicauca
00000000004650,"Maestría en Educación, Estudios del cuerpo y la Motricidad",2013-11-27,Acuerdo superior,Universidad Del Cauca - Unicauca
00000000004650,Maestría en Deporte y Actividad Física,2015-12-09,Acuerdo Superior 066 de 2015,Universidad Del Cauca - Unicauca
00000000008152,Maestria en Ciencias Quimicas,2010-11-22,Código SNIES 90909 Renovación 0955211Fecha11052017,Universidad del Cauca
00000000007141,MAESTRIA END ERECHOS HUMANOS Y POLÍTICAS PUBLICAS PARA LA CONVIENCIA,2014-07-22,Resolucion 11652 del M.E.N,Universidad del Cauca
00000000007141,MAESTRÍA EN FILOSOFÍA DEL DERECHO,2014-07-14,resolución 11047 M.E.N,Universidad del Cauca
00000000007141,Maestría en Ética y Filosofía Política,,,Universidad del Cauca
